###❝Корень эсперанто❞,❝(полностью тот же) корень эсперанто❞   в строке означает、что хотя он имеет тот же приоритет、что и соответствующая строка замены、на практике замена строки (иероглифов) не выполняется.
Корень эсперанто##,руби с японским переводом##
ring,кольцо
sabl,песок
scen,сцена
skal,масштаб
soci,общество
spac,пространство
stal,конюшня
task,задача
tomb,могила
verm,червь
vers,стихи
viol,фиалка
agord,гармония
balon,шар
bilet,билет
burĝ,буржуа
centr,центр
etaĝ,этаж
farun,мука
figur,образ
frost,мороз
gorĝ,горло
grund,почва
haven,порт
hotel,гостиница
humor,настроение
karot,морковь
katar,катар
kling,лезвие
koton,хлопок
kvant,количество
lepor,заяц
makul,пятно
manik,рукав
membr,член
mizer,убожество
nebul,туман
organ,орган
parti,партия
pastr,священник
radik,корень
serur,замок
solid,твердое
sonor,звон
strek,линия
ŝvit,пот
tabak,табак
tabel,таблица
titol,заголовок
tondr,гром
valiz,чемодан
ventr,живот
alumet,спичка
aparat,прибор
brasik,капуста
citron,цитрон
ĉifon,тряпка
dekliv,склон
dezert,пустыня
elektr,электричество
energi,энергия
fianĉ,жених
hirund,ласточка
kelner,официант
kvalit,качество
majstr,мастер
mantel,плащ
martel,молоток
matrac,матрас
menton,подбородок
oranĝ,апельсин
origin,происхождение
potenc,власть
salajr,зарплата
sekund,секунда
societ,общество
stomak,желудок
ŝultr,плечо
tapiŝ,ковёр
tritik,пшеница
aventur,приключение
cigared,сигарета
distanc,расстояние
embaras,затруднение
kamarad,товарищ
kaserol,кастрюля
komitat,комитет
kongres,съезд
kvadrat,квадрат
magazen,склад
pasport,паспорт
politik,политика
registr,реестр
ter/pom##,ter/pom##
akcident,авария
aŭtobus,автобус
aŭtomat,автомат
ĉokolad,шоколад
direktor,директор
instinkt,инстинкт
karakter,характер
kaŭĉuk,резина
material,материал
standard,знамя
telegraf,телеграф
restoraci,ресторан
ark,дуга
baz,основа
beb,младенец
bub,сорванец
bud,сарай
fel,мех
hok,крюк
huf,копыто
jur,закон
kas,касса
kin,кино
kom,запятая
kot,грязь
lup,волк
mam,грудь
map,карта
min,шахта
mus,мышь
net,чистовик
nod,узел
orf,сирота
ort,прямой угол
pat,сковорода
pil,батарея
pir,груша
pup,кукла
rat,крыса
rip,ребро
rob,одежда
tip,тип
ton,тон
urs,медведь
var,товар
vel,парус
vit,виноградная лоза
abel,пчела
aŭt,авто
bluz,блузка
boat,лодка
brov,бровь
cerb,мозг
ĉek,чек
ĉen,цепь
disk,диск
dram,драма
drap,ткань
duŝ,душ
ezok,щука
farb,краска
febr,лихорадка
fend,трещина
foir,ярмарка
fost,столб
frag,клубника
fulg,саж
funt,фунт
gant,перчатка
geni,гений
glor,слава
golf,залив
hajl,град
hero,герой
kemi,химия
kord,струна
kork,пробка
krad,решётка
kran,кран
kret,мел
kriz,кризис
kron,корона
kugl,пуля
kupr,медь
lift,лифт
list,список
mast,мачта
nadl,стрелка
nerv,нерв
oliv,олива
park,парк
pasi,страсть
pask,пасха
pelt,мех
plet,поднос
poem,стих
proz,проза
pulm,лёгкое
pulv,порох
rang,ранг
revu,журнал
ritm,ритм
seks,пол
sens,чувство
silk,шелк
simi,обезьяна
sojl,порог
stil,стиль
stri,полоса
ŝel,скорлупа
tend,палатка
verb,глагол
verg,прут
vert,макушка
vidv,вдовец
virt,добродетель
vual,вуаль
vulp,лиса
afiŝ,афиша
album,альбом
almoz,милостыня
arane,паук
asoci,ассоциация
avenu,проспект
aviad/il##,aviad/il##
barel,бочка
bazar,рынок
betul,берёза
brems,тормоз
butik,магазин
detal,деталь
diabl,дьявол
emoci,эмоция
enigm,загадка
esenc,суть
faŭk,пасть
fizik,физика
framb,малина
grajn,зерно
ĥemi,химия
ideal,идеал
juvel,драгоценность
katen,оковы
kitel,блуза
kruĉ,кувшин
krust,корка
kubut,локоть
kukol,кукушка
kverk,дуб
lamen,пласт
marĉ,болото
metod,метод
model,модель
motor,мотор
nivel,уровень
palac,дворец
panj,мама
penik,кисть
pioĉ,кирка
plumb,свинец
poezi,поэзия
salon,гостиная
saŭc,соус
sitel,ведро
sklav,раб
sport,спорт
stamp,печать
stang,стержень
stump,пень
ŝtal,сталь
ŝtof,ткань
teatr,театр
teori,теория
teren,земля
trajn,поезд
trajt,черта
trunk,ствол
venen,яд
veŝt,жилет
abomen,отвращение
anĝel,ангел
animal,животное
apetit,аппетит
apotek,аптека
benzin,бензин
bicikl,велосипед
bombon,конфета
cement,цемент
ĉeriz,вишня
desert,десерт
fabrik,завод
financ,финансы
funebr,траур
funkci,функция
garaĝ,гараж
imperi,империя
impost,налог
impres,впечатление
kalkan,пятка
kalson,трусы
kamion,грузовик
kandel,свеча
kanzon,песня
kastel,замок
klient,клиент
kol/um##,kol/um##
kurten,занавес
mandat,мандат
mister,тайна
moskit,комар
muskol,мышца
ombrel,зонт
paĉj,папа
parfum,аромат
patron,покровитель
petrol,нефть
posten,пост
pozici,позиция
proces,иск
profit,прибыль
proviz,запас
pulvor,порошок
recept,рецепт
rekord,запись
rezerv,резерв
signal,сигнал
sistem,система
surfac,поверхность
ŝofor,водитель
tajlor,портной
trezor,сокровище
trikot,трикотаж
vakcin,вакцина
advokat,адвокат
alkohol,алкоголь
ampleks,размер
broŝur,брошюра
bulvard,бульвар
deficit,дефицит
ekonomi,экономика
elefant,слон
ĵurnal,газета
kabinet,кабинет
kapital,капитал
koncert,концерт
krepusk,сумерки
kvartal,район
miliard,миллиард
pejzaĝ,пейзаж
problem,проблема
profesi,профессия
simpati,сочувствие
student,студент
ŝraŭb,винт
tempest,буря
traktor,трактор
tri/angul##,tri/angul##
trotuar,тротуар
adjektiv,прилагательное
dekoraci,украшение
ekvilibr,равновесие
esperant,надежда
hospital,больница
intelekt,умственный
kalendar,календарь
kilometr,километр
komision,комиссия
meĥanik,механика
milimetr,миллиметр
original,оригинал
pretekst,предлог
struktur,структура
telegram,телеграмма
tribunal,трибунал
bibliotek,библиотека
fundament,основа
inĝenier,инженер
konferenc,конференция
konscienc,совесть
literatur,литература
meĥanism,механизм
rekompenc,вознаграждение
respublik,республика
sekretari,секретарь
apartament,квартира
aŭtomobil,автомобиль
aŭtoritat,власть
instrument,инструмент
medikament,лекарство
temperatur,температура
cirkonstanc,обстоятельство
eksperiment,эксперимент
mal/varm/um##,mal/varm/um##
ajl,чеснок
akn,угри
aks,ось
akt,акт
ale,аллея
alg,водоросль
apr,кабан
azi,Азия
bal,бал
bet,свёкла
buk,пряжка
cep,лук
cir,воск
dot,приданое
eĥ,эхо
fab,боб
fac,лицо
fag,бук
fig,инжир
gal,желчь
gru,журавль
gum,резина
hal,зал
jug,ярмо
kal,мозоль
kaz,случай
kub,куб
lad,жесть
lak,лак
lap,лопух
lin,лён
lot,жребий
luk,люк
mas,куча
mat,мат
nuk,затылок
pap,папа
pav,павлин
pig,сорока
pus,гной
ran,лягушка
ren,почка
rib,смородина
rim,рифма
rol,роль
ros,роса
sag,стрела
sin,грудь
ski,лыжи
sof,диван
tig,стебель
tuf,пучок
tun,тон
vip,кнут
akci,акция
atom,атом
aven,овёс
bant,бант
bark,шлюпка
bask,подол
bend,лента
blok,блок
bors,биржа
bovl,миска
brid,узда
brut,скот
bukl,локон
bulb,луковица
bulk,булочка
cerv,олень
cign,лебедь
ĉel,клетка
dand,щеголь
diet,диета
dorn,шип
etap,этап
etat,отчёт
feĉ,осадок
felt,фетр
frak,фрак
fraz,фраза
fung,гриб
garb,сноп
gent,род
glav,меч
gobi,пескарь
gram,грамм
greg,стадо
grip,грипп
grot,пещера
gudr,дёготь
ĝib,горб
heĝ,живая изгородь
himn,гимн
ĥor,хор
kaĉ,каша
kaĝ,клетка
kaka,какао
kakt,кактус
karn,плоть
karp,карп
kejl,колышек
kern,ядро
klub,клуб
korv,ворон
kosm,космос
kult,культ
laĉ,шнур
lard,сало
larv,личинка
lice,лицей
likv,жидкость
lili,лилия
maiz,кукуруза
malv,мальва
mens,ум
menu,меню
miel,мёд
musk,мох
muze,музей
nuks,орех
oper,опера
oval,овал
palm,пальма
palt,пальто
pane,сбой
perl,жемчуг
pian,пианино
pice,ель
pipr,перец
plag,бедствие
prun,слива
pudr,пудра
punt,кружево
raci,разум
rent,доход
ruin,руина
rust,ржавчина
situ,место
sled,сани
sorg,сорго
spik,колос
spur,след
stan,олово
sulk,борозда
takt,ритм
tali,талия
tigr,тигр
tort,пирог
tram,трамвай
trup,труппа
vaks,воск
vejn,вена
vesp,оса
vind,подгузник
zink,цинк
afrik,Африка
agent,агент
akord,согласие
akrid,саранча
aktor,актёр
alarm,тревога
ampol,ампула
angil,угорь
anser,гусь
artik,сустав
bacil,бацилла
bambu,бамбук
banan,банан
brand,бренди
bronz,бронза
buked,букет
cigar,сигара
cikad,цикада
cinam,корица
cindr,пепел
cirkl,круг
civit,гражданство
ĉerk,гроб
debet,дебет
diant,гвоздика
dogan,пошлина
efekt,эффект
ekran,экран
emajl,эмаль
event,событие
fabel,сказка
fasad,фасад
fason,покрой
fluid,жидкость
fotel,кресло
front,фронт
funel,воронка
ĝerm,зародыш
hepat,печень
horde,ячмень
infer,ад
ironi,ирония
kaban,хижина
kahel,плитка
kajut,каюта
kamel,верблюд
kanal,канал
kankr,рак
karaf,графин
kokos,кокос
krani,череп
krest,гребень
kukum,огурец
kupon,купон
kusen,подушка
latun,латунь
laŭb,беседка
lekci,лекция
lesiv,щелок
limak,улитка
logik,логика
lotus,лотос
melon,дыня
moral,мораль
muzel,морда
nilon,нейлон
ocean,океан
palat,нёбо
palis,колышек
papag,попугай
paser,воробей
pensi,пенсия
peron,крыльцо
pilot,пилот
pland,подошва
plast,пластик
porci,доля
princ,принц
pupil,зрачок
rabat,скидка
rafan,редька
raŭp,гусеница
resum,резюме
rimen,ремень
roman,роман
salat,салат
salik,ива
satir,сатира
sciur,белка
sekal,рожь
sekci,раздел
senat,сенат
split,щепка
spong,губка
stadi,этап
statu,статуя
sterk,удобрение
strig,сова
strut,страус
ŝink,ветчина
ŝtip,бревно
tapet,обои
tarif,тариф
tegol,черепица
tekst,текст
teras,терраса
tomat,томат
tuber,бугор
tunel,туннель
velur,бархат
veruk,бородавка
vezik,пузырь
volum,том
adverb,наречие
akcent,акцент
alaŭd,жаворонок
amator,любитель
amerik,Америка
arteri,артерия
asfalt,асфальт
aŭtor,автор
barbir,парикмахер
buĝet,бюджет
bulten,бюллетень
cikatr,шрам
cikoni,аист
cirkel,циркуль
daktil,финик
dialog,диалог
ego/ist##,ego/ist##
eklezi,церковь
emerit,пенсионер
eŭrop,Европа
fajenc,фаянс
fazeol,фасоль
fontan,фонтан
formik,муравей
formul,формула
fripon,мошенник
furaĝ,корм
galoŝ,галоша
gvardi,гвардия
ĝemel,близнец
hangar,ангар
haring,сельдь
hazard,случай
hektar,гектар
herold,вестник
higien,гигиена
impuls,импульс
insign,знак
intest,кишка
jubile,юбилей
karton,картон
kasked,кепка
kavern,пещера
kirurg,хирург
klimat,климат
klinik,клиника
kolegi,колледж
kolomb,голубь
kolumn,колонка
komedi,комедия
konsul,консул
konval,ландыш
kornik,ворона
kostum,костюм
kredit,кредит
kukurb,тыква
kunikl,кролик
kurent,ток
lacert,ящерица
licenc,лицензия
maleol,лодыжка
materi,материя
mirtel,черника
monstr,чудовище
oficir,офицер
orator,оратор
papili,бабочка
pendol,маятник
period,период
persik,персик
pionir,пионер
planed,планета
platan,платан
plural,множеств.
profet,пророк
prolet,пролетарий
pronom,местоимение
reakci,реакция
reĝim,режим
rivolu,вращение
ruband,лента
skorpi,скорпион
spinac,шпинат
stamen,тычинка
statur,рост
surtut,пальто
ŝakal,шакал
ŝaŭm,пена
teknik,техника
testud,черепаха
torent,поток
trafik,трафик
tumult,беспорядок
turism,туризм
turist,турист
vertic,вершина
viktim,жертва
violon,скрипка
vulkan,вулкан
vultur,гриф
abrikot,абрикос
akademi,академия
alfabet,алфавит
alumini,алюминий
ambasad,посольство
anekdot,анекдот
apertur,отверстие
apostol,апостол
asemble,собрание
bagatel,пустяк
bakteri,бактерия
bandaĝ,бинт
bifstek,стейк
budĝet,бюджет
burĝon,почка
central,центр
cirkvit,схема
ĉar/um##,ĉar/um##
dimensi,размер
ekvator,экватор
element,элемент
epidemi,эпидемия
fantazi,фантазия
fenomen,феномен
gelaten,желатин
general,генерал
girland,гирлянда
harmoni,гармония
instanc,инстанция
invalid,инвалид
kaldron,котёл
kaŝtan,каштан
katalog,каталог
kirurgi,хирургия
kolonel,полковник
komisar,комиссар
kompani,компания
koncept,концепция
konkord,согласие
konkurs,соревнование
koridor,коридор
kristal,кристалл
lantern,фонарь
latitud,широта
medicin,медицина
mineral,минерал
minimum,минимум
ministr,министр
obstakl,препятствие
orkestr,оркестр
pacifik,Тихий океан
palpebr,веко
pantofl,тапок
paradiz,рай
paralel,параллель
plastik,пластика
portret,портрет
princip,принцип
program,программа
projekt,проект
proverb,пословица
provinc,провинция
rendevu,встреча
sin/ten##,sin/ten##
situaci,ситуация
stadion,стадион
subjekt,тема
teĥnik,техника
tendenc,тенденция
tinktur,краситель
tradici,традиция
tragedi,трагедия
traktat,договор
trumpet,труба
uniform,форма
vegetal,растение
viadukt,виадук
volumen,объём
zoologi,зоология
atlantik,Атлантический
avantaĝ,преимущество
bracelet,браслет
cirkuler,циркуляр
dokument,документ
federaci,союз
generaci,поколение
geografi,география
gramatik,грамматика
ĝendarm,жандарм
horizont,горизонт
individu,индивид
kandidat,кандидат
karnaval,карнавал
kategori,категория
komun/um##,komun/um##
krokodil,крокодил
longitud,долгота
maksimum,максимум
marmelad,мармелад
monument,памятник
paraŝut,парашют
pasaĝer,пассажир
pland/um##,pland/um##
porcelan,фарфор
procent,процент
profesor,профессор
radiator,радиатор
regiment,полк
rekt/angul##,rekt/angul##
sandviĉ,бутерброд
sindikat,профсоюз
singular,единственное число
specimen,образец
spektakl,шоу
substanc,вещество
teritori,территория
vertikal,вертикаль
ambasador,посол
aŭstrali,Австралия
centimetr,сантиметр
ekspozici,выставка
inspektor,инспектор
kalkan/um##,kalkan/um##
konfidenc,секрет
lokomotiv,локомотив
matematik,математика
metalurgi,металлургия
ministeri,министерство
najtingal,соловей
ortografi,орфография
parlament,парламент
proletari,пролетарий
propozici,предложение
psikologi,психология
suplement,дополнение
termometr,термометр
elektronik,электроника
helikopter,вертолёт
horizontal,горизонталь
komplement,дополнение
konsekvenc,последствие
konstituci,конституция
laboratori,лаборатория
leŭtenant,лейтенант
mediterane,Средиземное
substantiv,существительное
universitat,университет
s-ro##,s-ro##
s-ino##,s-ino##
sinjor/in##,sinjor/in##
alk,лось
aln,ольха
ann,Анна
bed,грядка
boa,удав
buf,жаба
cim,баг
col,дюйм
dam,дама
dig,дамба
duk,герцог
fav,парша
fok,тюлень
fut,фут
gad,треска
gam,гамма
gri,крупа
guf,филин
huz,белуга
kan,тростник
ken,смолистое дерево
ker,черви
kil,киль
kuf,шапка
kul,комар
kup,банка
laf,лава
lir,лира
lod,лот
lol,рожь
mac,маца
mel,барсук
mes,месса
mev,чайка
muf,муфта
muk,слизь
mul,мул
nap,рапс
peg,дятел
pol,поляк
pul,блоха
rap,репа
rif,риф
rod,причал
rot,отряд
rub,мусор
rum,ром
rus,русский
seb,сало
sel,седло
tez,тезис
tul,тюль
ulm,вяз
uln,локтевой
unc,унция
urn,урна
vil,ворс
abat,аббат
acer,клён
akar,клещ
alte,алтей
alun,квасцы
amel,крахмал
anas,утка
angl,англичанин
aniz,анис
ankr,якорь
arĉ,смычок
arde,цапля
aren,арена
atut,козырь
avel,фундук
aviz,уведомление
azot,азот
bast,луб
bert,Берта
blat,таракан
bram,лещ
bran,отруби
burd,шмель
cedr,кедр
citr,цитра
ĉam,серна
ĉan,курок
dogm,догма
drak,дракон
drog,наркотик
ebon,эбеновое дерево
eter,эфир
fabl,басня
falk,сокол
fibr,волокно
flan,пирог
flok,хлопья
flut,флейта
fraj,икра
ftiz,туберкулёз
gajl,галл
gips,гипс
glan,жёлудь
glim,слюда
graf,граф
gril,сверчок
gros,крыжовник
gurd,шарманка
ibis,ибис
idol,идол
kalk,известь
kand,леденец
kard,чертополох
karo,бубны
kask,шлем
kaze,творог
kegl,кегля
klap,клапан
klav,клавиша
kluz,шлюз
kojn,клин
koks,бедро
konk,раковина
kren,хрен
krep,креп
krop,зоб
krup,круп
lake,лакей
laks,понос
legi,легион
lent,чечевица
lepr,проказа
lian,лиана
lien,селезёнка
link,рысь
liut,лютня
lojt,налим
lorn,бинокль
lumb,поясница
lutr,выдра
magi,магия
mana,манна
mari,Мария
mask,маска
maŝ,петля
meĉ,фитиль
mejl,миля
ment,мята
merl,дрозд
mesi,мессия
mili,просо
mirh,мирра
mirt,мирт
misi,миссия
mops,мопс
most,виноградный сок
niĉ,ниша
omar,омар
opal,опал
ostr,устрица
paru,синица
peĉ,смола
pelv,таз
perk,окунь
pest,чума
petr,Пётр
pini,сосна
pips,пип
plik,косичка
plot,плотва
popl,тополь
pram,паром
sakr,ругать
salm,лосось
sepi,каракатица
sofi,София
sorp,рябина
spat,шпат
spin,позвоночник
stab,штаб
step,степь
stip,стебель
stof,ткань
stup,пакля
ŝak,шахматы
ŝal,шаль
ŝam,замша
taft,тафта
talp,крот
tetr,тетерев
tibi,большеберцовая кость
tili,липа
tine,моль
torf,торф
trab,балка
tref,трефы
tril,трель
trip,требуха
trog,кормушка
tron,трон
truf,трюфель
trul,кельма
trut,форель
turd,дрозд
turk,турок
turt,горлица
uter,матка
ŭat,ватт
vafl,вафля
vals,вальс
vekt,балка
zebr,зебра
altar,алтарь
ambos,наковальня
anton,Антон
ardez,сланец
argil,глина
aspid,аспид
balen,кит
barĉ,борщ
boben,катушка
brank,жабры
bubal,бизон
bufed,шведскийстол
cejan,василе́к
dativ,дательный
datur,дурман
demon,демон
denar,денарий
deviz,девиз
domen,домино
embri,эмбрион
emili,Эмилия
ermen,горностай
ermit,отшельник
facet,грань
fazan,фазан
femur,бедро
filik,папоротник
flegm,спокойствие
fokus,фокус
franc,француз
frank,франк
fring,зяблик
galon,галун
gazel,газель
genot,генетта
georg,Георг
gitar,гитара
gland,железа
groŝ,грош
hebre,еврей
heder,плющ
herez,ересь
herni,грыжа
hirud,пиявка
hosti,облатка
husar,гусар
ĥaos,хаос
idili,идиллия
johan,Иоанн
jozef,Иосиф
kalik,чаша
kambi,вексель
kamer,камера
kanab,конопля
kanap,диван
kapel,часовня
kapon,кастрированный петух
kapor,каперсник
kapot,капот
karas,карась
karob,рожковое дерево
katun,хлопок
kerub,херувим
kiras,броня
klaft,сажень
kloŝ,колпак
koaks,кокс
koleg,коллега
kolon,столб
komiz,продавец
komod,комод
konus,конус
kopek,копейка
koran,Коран
kramp,скоба
kring,крендель
krisp,рюш
krist,Христос
kupol,купол
kvarc,кварц
kvart,четвёртый
lanug,пух
laŭr,лавр
libel,стрекоза
liken,лишайник
livre,ливрея
loĝi,ложа
lupol,хмель
lustr,люстра
luter,Лютер
medal,медаль
meriz,черешня
moned,галка
morus,тутовник
moŝt,величие
negoc,бизнес
nobel,дворянин
novic,новичок
nuanc,оттенок
oblat,печать
okzal,щавель
orden,орден
orgen,орган
paĝi,паж
papav,мак
pariz,Париж
paŭl,Пауль
pavim,мостовая
pedik,вошь
perĉ,ерш
piked,караул
pilol,таблетка
pirit,пирит
pirol,снегирь
piroz,изжога
piŝt,поршень
pluŝ,плюш
poent,балл
pokal,кубок
polus,полюс
potas,поташ
prujn,иней
pudel,пудель
pumik,пемза
punĉ,пунш
putor,хорёк
raben,раввин
rapir,рапира
regol,королёк
rezin,смола
rostr,хобот
ruben,рубин
safir,сапфир
salvi,шалфей
sigel,печать
silab,слог
silik,кремень
silur,сом
silvi,славка
sirop,сироп
skabi,чесотка
skadr,эскадрон
skarp,шарф
skvam,чешуя
sorik,землеройка
spion,шпион
spron,шпора
stabl,стол
sturg,осётр
sturn,скворец
ŝalm,дудка
ŝark,акула
ŝelk,подтяжки
ŝild,щит
ŝind,дранка
ŝlim,грязь
taban,слепень
tavol,слой
tempi,висок
tetan,столбняк
tetra,рябчик
timon,оглобля
topaz,топаз
torĉ,факел
tromb,водяной смерч
tulip,тюльпан
ulcer,язва
urtik,крапива
vanil,ваниль
vasal,вассал
velen,пергамент
verst,верста
vezir,визирь
vipur,гадюка
vokal,гласный
zenit,зенит
zibel,соболь
zizel,суслик
absces,абсцесс
absint,полынь
alcion,зимородок
amfibi,амфибия
ananas,ананас
artrit,артрит
atripl,ораш
berlin,Берлин
bismut,висмут
boraks,бура
buljon,бульон
bulonj,Булонь
buŝel,бушель
centim,сантим
cikori,цикорий
cimbal,тарелка
cinabr,киноварь
cipres,кипарис
ĉarpi,линт
damask,дамаск
delfen,дельфин
didelf,опоссум
embusk,засада
epolet,эполет
erinac,ёж
ernest,Эрнест
eskadr,эскадра
faktur,счёт
falbal,оборка
fantom,призрак
faring,глотка
fenkol,фенхель
ferdek,палуба
fistul,свищ
flanel,фланель
fosfor,фосфор
franĝ,бахрома
furunk,фурункул
fusten,фустян
galeri,галерея
gamaŝ,гетры
german,немец
granat,гранат
granit,гранит
grenad,граната
grifel,грифель
ĝiraf,жираф
haladz,вонь
hamstr,хомяк
hispan,испанец
ĥimer,химера
ĥoler,холера
ingven,пах
izrael,Израиль
jasmen,жасмин
kaleŝ,карета
kalvin,Кальвин
kamfor,камфора
kamlot,камлот
kanajl,негодяй
kanari,канарейка
kantor,певец
kanvas,холст
kapsul,капсула
kapuĉ,капюшон
kardel,щегол
karmin,кармин
karpen,граб
kastor,бобр
kaviar,икра
kobalt,кобальт
kobold,гоблин
kolbas,колбаса
kolibr,колибри
kolimb,гагара
kolubr,уж
komuni,причастие
kontor,офис
kontur,контур
kornic,карниз
korpus,корпус
koturn,перепел
kraken,крекер
kratag,боярышник
krater,кратер
kronik,летопись
kurier,гонец
lampir,светлячок
laring,гортань
lavang,лавина
legend,легенда
lekant,ромашка
lentug,веснушка
levkoj,левкой
likvor,ликёр
litani,литания
london,Лондон
magnet,магнит
makzel,челюсть
mangan,марганец
markot,отводка
marmor,мрамор
marmot,сурок
mastik,шпатлёвка
migdal,миндаль
miogal,ондатра
miozot,незабудка
monaĥ,монах
morbil,корь
morter,раствор
muskat,мускатный орех
muslin,муслин
mustel,куница
nanken,нанкин
narcis,нарцисс
nikola,Николай
notari,нотариус
orakol,оракул
paletr,палитра
panter,пантера
parget,паркет
paroĥ,приход
parter,партер
pastel,леденец
patent,патент
patrol,патруль
pfenig,пфенниг
pistak,фисташка
pistol,пистолет
plastr,пластырь
platen,платина
ponard,кинжал
porfir,порфир
porter,портер
primol,примула
prunel,терн
purpur,пурпур
rekrut,новобранец
rempar,бастион
risort,пружина
rosmar,морж
rozari,чётки
rubrik,рубрика
safran,шафран
sambuk,бузина
sankci,санкция
sardel,сардина
sceptr,скипетр
selakt,сыворотка
servic,посуда
servut,крепостное право
siring,сирень
skapol,лопатка
skarab,жук
skolop,вальдшнеп
skurĝ,плеть
sofism,софизм
sopran,сопрано
spalir,шпалер
stefan,Стефан
sufiks,суффикс
sukcen,янтарь
sulfur,сера
talent,талант
tambur,барабан
tenden,сухожилие
teodor,Теодор
termin,термин
testik,яичко
timian,чабрец
tombak,томбак
traĥe,трахея
tremol,осина
tribun,трибуна
tropik,тропики
turban,тюрбан
turkis,бирюза
turnir,турнир
urogal,глухарь
variol,оспа
viburn,калина
vikari,викарий
vinagr,уксус
vizier,козырёк
volupt,чувственность
ablativ,аблатив
antimon,сурьма
arleken,шут
arsenik,мышьяк
artifik,уловка
asparag,спаржа
bajonet,шты́к
bastion,бастион
beladon,белладонна
biskvit,бисквит
ĉampan,шампанское
ĉarnir,петля
diamant,алмаз
episkop,епископ
eŝafod,эшафот
fraksen,ясень
frangol,крушина
fringel,чиж
genitiv,родительный падеж
henriet,Генриетта
hidrarg,ртуть
hiskiam,белена
histrik,дикобраз
jugland,грецкий орех
juniper,можжевельник
kalikot,калика
kamizol,камзол
kamomil,ромашка
kapitan,капитан
kapitel,капитель
kapreol,косуля
kapucen,капуцин
karaben,карабин
kartoĉ,патрон
karusel,карусель
kavalir,рыцарь
klarnet,кларнет
klister,клизма
kokluŝ,коклюш
kolofon,канифоль
kompres,компресс
kurator,опекун
kvitanc,квитанция
leontod,одуванчик
leopard,леопард
limonad,лимонад
lonicer,жимолость
ludovik,Людвиг
lunatik,сумасшедший
maroken,марокканская кожа
marŝal,маршал
meleagr,индюк
membran,пленка
miĥael,Михаил
monarĥ,монарх
mustard,горчица
negliĝ,неглиже
nikodem,Никодем
novjork,Нью-Йорк
oksigen,кислород
oksikok,клюква
parazit,паразит
pasteĉ,паштет
pelikan,пеликан
perdrik,куропатка
poligon,гречиха
prefiks,приставка
redakci,редакция
rinocer,носорог
salpetr,селитра
sentenc,поговорка
skarlat,алый
skorbut,цинга
skrofol,скрофулёз
smerald,изумруд
sterled,стерлядь
stertor,хрипение
ŝiller,Шиллер
umbilik,пупок
univers,вселенная
varsovi,Варшава
verdigr,пати́на
vertebr,позвонок
vespert,летучая мышь
vestibl,вестибюль
vilhelm,Вильгельм
virtuoz,виртуоз
vitriol,витриол
zingibr,имбирь
akcipitr,ястреб
akuzativ,винительный падеж
argument,аргумент
arĥaism,архаизм
artiŝok,артишок
baldaken,балдахин
briliant,драгоценность
diplomat,дипломат
distrikt,район
elizabet,Елизавета
fragment,фрагмент
framason,масон
frugileg,грач
hidrogen,водород
hortulan,овсянка
institut,институт
kantarid,жук-солдатик
kariofil,гвоздика
kartilag,хрящ
katarakt,катаракта
koĉenil,кошениль
kokcinel,божья коровка
konvulsi,судорога
leksikon,лексикон
marcipan,марципан
medalion,медальон
monarĥi,монархия
obstrukc,препятствие
paradoks,парадокс
parentez,скобка
particip,причастие
pasament,тесьма
pastinak,пастернак
pergamen,пергамент
peritone,брюшина
perlamot,перламутр
petromiz,минога
petrosel,петрушка
ranunkol,лютик
redaktor,редактор
rezultat,результат
rosmaren,розмарин
serĝent,сержант
sublimat,сублимат
taĉment,отряд
terebint,скипидар
tornistr,ранец
zamenhof,Заменгоф
aleksandr,Александр
anunciaci,благовещение
balustrad,перила
ĉambelan,камергер
ĉarlatan,шарлатан
deklinaci,склонение
diplomati,дипломатия
ekscelenc,превосходительство
ekzempler,экземпляр
entuziasm,энтузиазм
fortepian,рояль
galanteri,аксессуары
iĥtiokol,рыбий клей
instituci,учреждение
instrukci,инструкция
kancelari,канцелярия
kancelier,канцлер
kataplasm,пластырь
kondolenc,соболезнование
konjugaci,спряжение
konjunkci,союз
konsonant,согласный
korporaci,корпорация
kvaranten,карантин
nominativ,именительный
pentekost,Пятидесятница
piedestal,пьедестал
prepozici,предлог
privilegi,привилегия
promontor,мыс
salamandr,саламандра
testament,завещание
vermiĉel,вермишель
interjekci,междометие
superstiĉ,суеверие
vaŝington,Вашингтон
violonĉel,виолончель
arĥitektur,архитектура
interpunkci,пунктуация
jork,Йорк
parok,приход
navig,навигация
kaos,хаос
kimer,химера
korus,хор
monak,монах
iktiokol,ихтиокол
ald,альт
alo,алоэ
api,сельдерей
ari,ария
bas,бас
car,царь
dog,мастиф
dok,док
doz,доза
ego,эго
elf,эльф
etn,этнос
faz,фаза
fon,фон
fuk,обломки
gaz,газ
gem,драгоценность
hum,перегной
jod,йод
jud,еврей
kep,кепи
lat,рейка
lob,доля
mim,мим
mit,миф
muz,муза
nas,ловушка
nav,неф
niz,ястреб
oaz,оазис
opi,опиум
puf,пух
raj,скат
ras,раса
ref,риф
rit,ритуал
rut,рута
sod,сода
tif,тиф
tog,тога
viz,виза
agat,агат
aĝi,премия
alen,шило
ambr,амбра
amor,амур
aort,аорта
arom,аромат
astm,астма
astr,небесный
azil,убежище
bard,бард
bomb,бомба
bosk,роща
brom,бром
bust,бюст
cend,цент
